patient_id,first_name,last_name,date_of_birth,age,gender,address,city,state,zip_code,phone,email,ssn_hash,registration_date,is_deceased,date_of_death,chronic_conditions,is_phantom
PAT000087,Joshua,Lam,1939-08-12,86,M,16973 Lopez Forges Suite 720,South Phillip,MI,94029,(698)835-6145x45195,xporter@example.com,116a43c05781a4c11e7d666cc83e6c6407c0d9aa04bdb0cab9dae887eff4a201,2021-10-09,False,,['diabetes'],False
PAT000088,Lisa,Peterson,1970-05-04,55,Other,7833 Tammy Rest Apt. 399,Crystalchester,DE,21416,239-769-8241,pcampbell@example.org,75415b254e2f3de6be9fd2c85e118a1a29dc80eea337918ee79109c948c25127,2021-01-20,False,,[],False
PAT000089,Dana,Dalton,2024-06-10,1,F,014 Young Port Suite 474,Lopeztown,AS,03340,938-944-3128x02305,taylordonald@example.com,ce408c848f56c357bf576f4d6a5e5616eef2445cdfa1397f9fd95a060f9db321,2021-11-23,False,,[],False
PAT000090,Alexander,Mccoy,1985-01-08,40,M,37952 Miller Manors Suite 869,Amymouth,NE,89554,001-259-529-9155x47768,tinareed@example.org,753e67122f7dc9ab63f2b9c526e7f02ea81f8f4cd0bcbcd0571024a4817f184d,2025-08-15,False,,[],False
PAT000091,Ruth,Bailey,1985-01-19,40,F,1210 Pierce Heights,North Davidville,CO,44256,001-251-520-1159x9675,castillosamantha@example.net,1fc2c1fc91cc1b2fbfc407f614c62be179dc29ea139458068c52c7c3079b8c6c,2021-06-09,False,,[],False
PAT000092,Lauren,Lucas,1952-10-17,73,Other,52266 Jeffrey Estate Apt. 752,Bretthaven,KY,35300,936-468-9865x51664,florescrystal@example.com,071555b9958851cf5022633a56f3f16195bfe349dff62c01254c00ba432f1f38,2022-12-22,False,,['hypertension'],False
PAT000093,Barbara,Valdez,2014-12-03,11,F,55455 Leonard Flat Apt. 001,Jesusburgh,VA,91241,737-542-4340x1470,travis49@example.org,d111c646b418c5be2ded8eadb258708fba17fe7fee15253edac121c31b7d0541,2021-06-22,False,,[],False
PAT000094,Sabrina,Rice,1961-11-10,64,F,229 Matthew Way,Reneebury,MI,30106,4976409751,hannahweeks@example.com,a248b834e319fe962632e784f7be1df40811ab34b790830ab00c335719e0c97c,2025-01-09,False,,[],False
PAT000095,Holly,Wood,1958-06-02,67,F,8163 Debra Forge Apt. 033,North Christopherbury,ND,35506,993.458.1589x27232,matthewrogers@example.com,d1986aafb85b2e197fdbbb669d9bff6eb8995bc72c45332b15e387e0b7c16d4d,2021-05-28,False,,['hypertension'],False
PAT000096,Rebecca,Cruz,1983-09-29,42,F,9673 Mary Gardens,Williamsbury,RI,88268,366-279-1182x263,jacksonpedro@example.com,82ab0805a08626dc68d5aa975b88660f31383f28c8485793066210f4c2cb215b,2023-06-24,False,,[],False
PAT000097,Kathryn,Kim,1977-04-02,48,Other,8583 Reeves Prairie,Watkinsfort,MA,73689,651-633-7378,lonnie41@example.org,5263a618792685af4349c3bdc2ae264d192e79e8e618b04c88e2a7713331253a,2024-02-08,False,,['hypertension'],False
PAT000098,Stephen,Castillo,1941-01-23,84,M,728 Ronald Crossing Suite 605,Julieborough,MO,89445,(695)978-8195x7833,tellis@example.net,a3f88bd5bd37d6a0b6acac713122e07e6296beecc7b05d3f5bc94b61d413bfdb,2022-08-14,False,,['hypertension'],False
PAT000099,Amanda,Thompson,1996-08-15,29,F,95611 White Cliffs Suite 298,South Rhonda,PW,12050,001-406-730-1880,erin80@example.net,4dea82e5c0fda32e81d2c3b4ee078120249bf3c9051448f52c9cad52f37cfc47,2025-04-03,False,,[],False
PAT000100,Kristen,Mcdonald,2008-09-17,17,F,07425 Garner Villages,Barbaraside,IA,98057,811.461.8379x672,colemanteresa@example.com,ffab10055a60cd407cf20ca18477409f8df6dbf7ac4d630d9054a286f13f3088,2025-02-15,False,,[],False
PAT000101,Richard,Ward,1979-07-30,46,M,183 Maynard Courts,Michelletown,KS,30094,(600)511-2108,dakota46@example.org,cc42ec7bc54959c0a3e5b047d830023ec7744603c312b42919d562e09cf43149,2021-09-14,False,,[],False
PAT000102,Craig,Jordan,1949-03-24,76,M,258 Laura Harbors Suite 317,Yvonnetown,WV,48509,428-349-1224x217,danieljohnson@example.net,e54d869a5729f154aafb988ee7ec58a692f33d4a619c188a27ad217282a99f3d,2021-01-07,False,,['hypertension'],False
PAT000103,Casey,Fuentes,2017-06-12,8,Other,796 Gregory Inlet Suite 063,Rachelhaven,IN,26226,8186848204,lanepeter@example.com,547cd183514b922912c19b199e1adb615a58b4cbf9293750576682e08fa2872c,2025-06-22,False,,[],False
PAT000104,Alexander,Lee,1967-03-12,58,M,462 Kathleen Corners Apt. 665,North Amyhaven,DC,22223,(236)470-5684x08341,lindataylor@example.org,53e513f963d22a7f6b446065afdb63bb4c584fdbcc19d622787f22b211e5d4be,2022-11-14,False,,"['hypertension', 'diabetes']",False
